repo,url,intentZh,intentEn,category,isDsh,language,tech,keyDeps,stars,forks,sizeBytes,sizeHuman,created,updated,license,openIssues,compat,cloned,needsReview,lists,signals
"whitelonng/dshcode","https://github.com/whitelonng/dshcode","DeepSeek Harness 社区桌面伴侣。","Community desktop companion for DeepSeek Harness.","utility","yes","TypeScript","TypeScript, react, express, typescript, vite, esm, ts-build","","425","1","49032406","46.8MB","2026-08-13","2026-08-14","MIT","5","unknown","yes","false","watch","@deepseek-ai/dsh-tool-session-query; readme-mentions-dsh"
"WYH66666666/DSH-Transparent-UI-Plugin","https://github.com/WYH66666666/DSH-Transparent-UI-Plugin","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, react, esm","","388","0","3999856","3.8MB","2026-08-14","2026-08-15","MIT","0","unknown","yes","false","watch","@deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-test-runtime; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-settings-plugins; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-theme; @deepseek-ai/dsh-invariants; @deepseek-ai/cordis; readme-mentions-dsh"
"morluto/rea","https://github.com/morluto/rea","用 agent 逆向工程任何东西。","Reverse engineer anything with agents.","tools","no","TypeScript","TypeScript, playwright, typescript, vite, esm, ts-build","","378","26","12075865","11.5MB","2026-04-14","2026-08-15","MIT","51","unknown","yes","false","watch",""
"text2future/flowix","https://github.com/text2future/flowix","为你记笔记，为你的智能体存记忆。","Notes for you, Memory for your agents.","session","no","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","@base-ui/react, @phosphor-icons/react, @radix-ui/react-hover-card, @tiptap/react, lucide-react, react, react-dom, react-markdown","374","36","18631029","17.8MB","2026-05-25","2026-08-15","MIT","25","unknown","yes","false","watch",""
"yjh051108/dsh-router-standard","https://github.com/yjh051108/dsh-router-standard","面向 DeepSeek Harness 的任务感知推理模式路由器：spec/mixed/react 三档行为带，人格注入 + 首轮工具注入，对 Agent 可见的调节参数。","Task-aware reasoning-mode router for DeepSeek Harness: three measured behavior bands (spec/mixed/react), persona plus first-turn tool injection, and agent-visible tuning knobs.","orchestration","yes","JavaScript","JavaScript","","370","33","","","2026-08-14","2026-08-24","MIT","43","unknown","no","false","plugin","dsh-plugin-topic; readme-mentions-dsh"
"firstintent/ccteam","https://github.com/firstintent/ccteam","把 Claude Code/Codex/Grok/Kimi 编成团队，Telegram/飞书指挥","Orchestrates Claude Code/Codex/Grok/Kimi into one team","orchestration","no","Rust","Rust","","358","16","16265896","15.5MB","2026-05-04","2026-08-14","MIT","0","unknown","yes","false","plugin",""
"omdsh-dev/dsh-genui","https://github.com/omdsh-dev/dsh-genui","会话内联渲染交互式 UI 组件","Inline interactive UI components in chat","ui","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","react","357","4","8418140","8.0MB","2026-08-13","2026-08-15","MIT","2","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-tool; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; @deepseek-ai/cordis; keyword-plugin; readme-mentions-dsh"
"PM-Shawn/Abu-Cowork","https://github.com/PM-Shawn/Abu-Cowork","Claude Cowork 的开源替代（本地优先）。","Open-source alternative to Claude Cowork (local-first).","utility","yes","TypeScript","TypeScript, react, playwright, typescript, vite, esm, ts-build","@uiw/react-codemirror, lucide-react, react, react-dom, react-markdown, react-pdf, react-syntax-highlighter, react-virtuoso","351","77","52683922","50.2MB","2026-03-09","2026-08-15","NOASSERTION","19","unknown","yes","false","watch","readme-mentions-dsh"
"linhay/harmony-next.skills","https://github.com/linhay/harmony-next.skills","HarmonyOS NEXT 开发专家指导 skills。","Expert guidance skills for HarmonyOS NEXT development.","skills","no","Python","Python","","340","23","48733713","46.5MB","2026-03-12","2026-08-15","unknown","0","unknown","yes","false","watch",""
"alaliqing/claude-paper","https://github.com/alaliqing/claude-paper","自动化研究论文学习的 Claude Code 插件。","Claude Code plugin automating research-paper study.","skills","yes","Vue","Vue, esm","","328","24","63700033","60.7MB","2026-02-10","2026-08-14","MIT","0","unknown","yes","false","watch","keyword-plugin; readme-mentions-dsh"
"zhoushoujianwork/easyeda-agent","https://github.com/zhoushoujianwork/easyeda-agent","(无描述)","(no description)","tools","no","Go","Go","","307","32","18274710","17.4MB","2026-06-25","2026-08-15","unknown","18","unknown","yes","false","watch",""
"anysearch-team/anysearch-dsh","https://github.com/anysearch-team/anysearch-dsh","DeepSeek Harness（DSH）的 AnySearch 网络搜索提供商与高级搜索工具","AnySearch web search provider and advanced search tools for DeepSeek Harness (DSH)","tools","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","@deepseek-ai/schemastery","304","3","240182","235KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-web; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"liustack/modsearch","https://github.com/liustack/modsearch","DeepSeek Harness 的联网搜索插件。","Web search plugin for DeepSeek Harness.","tools","yes","TypeScript","TypeScript, typescript, vite, esm, ts-build","","298","5","5921142","5.6MB","2026-02-22","2026-08-15","MIT","2","unknown","yes","false","plugin","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"howmp/dsh-pentest","https://github.com/howmp/dsh-pentest","面向 DeepSeek Harness 的渗透测试模式（限授权场景）：记录目标、探索线索、验证结果、资产与漏洞，Web 端提供探索链路/漏洞/资产视图；自包含 bundle，可通过 dsh plugin add 安装。","Penetration-testing mode for DeepSeek Harness (authorized use only): record targets, explore leads and validate findings, assets and vulnerabilities, with exploration-chain / vulnerability / asset views in the Web UI; self-contained bundle installable via `dsh plugin add`.","tools","yes","JavaScript","JavaScript, sqlite","","293","26","","","2026-08-15","2026-08-24","none","0","unknown","no","false","plugin","cordis.patch.yml; dsh-plugin-topic; readme-mentions-dsh"
"bruc3van/awesome-dsh-plugin","https://github.com/bruc3van/awesome-dsh-plugin","双语 DSH 插件生态完整列表","Bilingual complete list of the DSH plugin ecosystem","utility","yes","JavaScript","JavaScript","","292","23","2661641","2.5MB","2026-08-13","2026-08-15","MIT","3","unknown","yes","false","plugin","readme-mentions-dsh"
"vlln/whale-girl","https://github.com/vlln/whale-girl","QQ 宠物形态的桌面宠物插件","QQ-pet-style desktop pet plugin","ui","yes","JavaScript","JavaScript, esbuild, esm","","291","5","3767761","3.6MB","2026-08-10","2026-08-15","MIT","3","unknown","yes","false","plugin","cordis.patch.yml; readme-mentions-dsh"
"V1ki/dsh-plugin-subscriptions","https://github.com/V1ki/dsh-plugin-subscriptions","将 ChatGPT（Codex）、Claude 与 Grok（X Premium）订阅作为 DeepSeek Harness 的 LLM 提供方——Web UI 中 OAuth 登录，无需 API Key","Use ChatGPT (Codex), Claude, and Grok (X Premium) subscriptions as DeepSeek Harness LLM providers — OAuth login in the web UI, no API keys","llm","yes","TypeScript","TypeScript, dsh-tools, react, typescript, esm, ts-build","","289","0","686577","670KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-api-remotes; @deepseek-ai/dsh-attachment; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-home-paths; @deepseek-ai/dsh-host-apiproxy; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"hust-open-atom-club/oh-dsh-desktop","https://github.com/hust-open-atom-club/oh-dsh-desktop","可扩展的 macOS DSH 工作台（原生 PTY）","Extensible macOS DSH workbench with native PTY","utility","yes","TypeScript","TypeScript, typescript, esbuild, esm, ts-build","","287","13","7416092","7.1MB","2026-08-11","2026-08-15","MIT","7","unknown","yes","false","plugin","cordis.patch.yml; readme-mentions-dsh"
"hust-open-atom-club/oh-dsh","https://github.com/hust-open-atom-club/oh-dsh","一站式 DeepSeek Harness 社区发行版：TUI、桌面端与 Web UI 三形态统一。","Community DSH distribution unifying TUI, desktop and Web UI.","utility","yes","TypeScript","TypeScript, typescript, esbuild, esm, ts-build","","287","13","7416092","7.1MB","2026-08-11","2026-08-15","MIT","7","unknown","yes","false","watch","cordis.patch.yml; readme-mentions-dsh"
"nutshellai-tech/mobius","https://github.com/nutshellai-tech/mobius","首个自进化开源 Agent OS。","The first self-evolving open-source Agent OS.","orchestration","no","TypeScript","TypeScript","","286","11","19533569","18.6MB","2026-06-18","2026-08-15","NOASSERTION","4","unknown","yes","false","watch",""
"QCYTSN/dsh-dafeiyu","https://github.com/QCYTSN/dsh-dafeiyu","DeepSeek Harness 的原生桌面大肥鱼伙伴——真实智能体状态，Windows 上始终置顶","Desktop-native BigFish companion for DeepSeek Harness — real Agent status, always on top on Windows.","utility","yes","JavaScript","JavaScript, playwright, esm","@deepseek-ai/schemastery","267","0","5038732","4.8MB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"huiliyi37/Tianshu-Tui","https://github.com/huiliyi37/Tianshu-Tui","天枢：面向 DeepSeek V4 的终端编程智能体运行时（TUI）","Tianshu: terminal coding-agent runtime (TUI) for DeepSeek V4","utility","no","TypeScript","TypeScript, playwright, typescript, esbuild, esm, ts-build","","264","21","28184957","26.9MB","2026-06-09","2026-08-14","Apache-2.0","3","unknown","yes","false","watch",""
"ZSeven-W/dsh-ios","https://github.com/ZSeven-W/dsh-ios","把实时 iOS 模拟器（以及 USB 连接的真机 iPhone）搬进 DSH 对话：22 个 Agent 工具负责启动、构建、按无障碍标识/OCR/列表行驱动 UI，侧边栏提供可点按拖拽的 MJPEG 实时画面。","DSH plugin putting a live iOS Simulator — and a USB-connected iPhone — inside the conversation: 22 agent tools for booting, building and driving the UI by accessibility identity, OCR or list rows, plus a tappable MJPEG sidebar panel.","tools","yes","TypeScript","TypeScript, esm","","259","22","","","2026-08-19","2026-08-24","MIT","1","unknown","no","false","plugin","cordis.patch.yml; dsh-plugin-topic; readme-mentions-dsh"
"Ariestar/sivtr","https://github.com/Ariestar/sivtr","面向人类与智能体的统一记忆工作区","A unified agent memory workspace for human and agent","session","no","Rust","Rust","","256","18","19978210","19.1MB","2026-04-20","2026-08-14","Apache-2.0","31","unknown","yes","false","watch",""
"SepineTam/mcp-for-stata","https://github.com/SepineTam/mcp-for-stata","把 Stata 集成进 agent 的 MCP 服务器。","MCP server integrating Stata into agents.","tools","yes","Python","Python","","253","33","1621830","1.5MB","2025-03-28","2026-08-15","AGPL-3.0","2","unknown","yes","false","watch","readme-mentions-dsh"
"kelai141/dsh-mobile-apk","https://github.com/kelai141/dsh-mobile-apk","dsh 安卓壳 APK——WebView UI + 内嵌 Termux 运行时快照（解压即跑）、SAF 目录桥、保活服务、看门狗、运行时在线更新。","dsh-mobile-apk — DSH plugin (utility)","utility","yes","Kotlin","Kotlin","","252","3","130196","127KB","2026-08-13","2026-08-14","MIT","3","unknown","yes","false","watch","readme-mentions-dsh"
"omdsh-dev/dsh-mnemon","https://github.com/omdsh-dev/dsh-mnemon","Mnemon 三层记忆体深度集成","Mnemon three-layer memory deep integration","tools","yes","JavaScript","JavaScript, react, typescript, vite, esm, ts-build","","251","2","15538180","14.8MB","2026-08-10","2026-08-14","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-tool; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"csyangwen/dsh-memory-evolve","https://github.com/csyangwen/dsh-memory-evolve","跨会话长期记忆 + 后台自我进化（纯插件）","Cross-session long-term memory + background self-evolution","session","no","JavaScript","JavaScript, esm","","251","4","12407258","11.8MB","2026-08-05","2026-08-15","MIT","2","unknown","yes","false","plugin",""
"openma-ai/open-managed-agents","https://github.com/openma-ai/open-managed-agents","Claude Managed Agents API 的开源自托管平台（Cloudflare Workers）","Self-hosted Claude Managed Agents API platform (Cloudflare Workers)","tools","no","TypeScript","TypeScript, playwright, openai-sdk, typescript, vite, esm, ts-build","@ai-sdk/openai","250","30","12045663","11.5MB","2026-04-10","2026-08-14","Apache-2.0","21","unknown","yes","false","plugin",""
"huiliyi37/dsh-tianshu-tui","https://github.com/huiliyi37/dsh-tianshu-tui","DSH 终端 UI（TUI）","DeepSeek Harness terminal UI","utility","yes","TypeScript","TypeScript, dsh-tools, dsh-session, esm","","240","5","3232151","3.1MB","2026-08-13","2026-08-15","Apache-2.0","2","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/cordis-plugin-include; @deepseek-ai/cordis-plugin-loader; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-default-model; @deepseek-ai/dsh-agent-spine-demo; @deepseek-ai/dsh-credentials-local; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-llm-replay; @deepseek-ai/dsh-permission-presets; @deepseek-ai/dsh-scope; @deepseek-ai/dsh-session; @deepseek-ai/dsh-settings-file; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-subagent; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-user-approval; @deepseek-ai/dsh-user-questions; @deepseek-ai/dsh-workflow; @deepseek-ai/dsh-attachment; keyword-plugin; readme-mentions-dsh"
"adongwanai/learn-workbuddy","https://github.com/adongwanai/learn-workbuddy","从 0 复刻 WorkBuddy 桌面 AI 助手（24 章教程）","24-chapter tutorial replicating WorkBuddy-style harness","utility","no","Python","Python","","239","19","1828384","1.7MB","2026-07-08","2026-08-14","MIT","0","unknown","yes","false","watch",""
"hikariming/dshfind","https://github.com/hikariming/dshfind","DSH 学习与分享社区","DSH learning & sharing community","utility","yes","MDX","MDX, react, typescript","@mdx-js/react, lucide-react, react, react-dom","231","2","5634284","5.4MB","2026-08-13","2026-08-14","unknown","4","unknown","yes","false","watch","readme-mentions-dsh"
